meeting_key;circuit_key;circuit_short_name;meeting_code;location;country_key;country_code;country_name;meeting_name;meeting_official_name;gmt_offset;date_start;year
1253;63;Sakhir;BRN;Sakhir;36;BRN;Bahrain;Pre-Season Testing;FORMULA 1 ARAMCO PRE-SEASON TESTING 2025;03:00:00;2025-02-26T07:00:00+00:00;2025
1254;10;Melbourne;AUS;Melbourne;5;AUS;Australia;Australian Grand Prix;FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025;11:00:00;2025-03-14T01:30:00+00:00;2025
1255;49;Shanghai;CHN;Shanghai;53;CHN;China;Chinese Grand Prix;FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025;08:00:00;2025-03-21T03:30:00+00:00;2025
1256;46;Suzuka;JPN;Suzuka;4;JPN;Japan;Japanese Grand Prix;FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ;09:00:00;2025-04-04T02:30:00+00:00;2025
1257;63;Sakhir;BRN;Sakhir;36;BRN;Bahrain;Bahrain Grand Prix;FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025;03:00:00;2025-04-11T11:30:00+00:00;2025
1258;149;Jeddah;KSA;Jeddah;153;KSA;Saudi Arabia;Saudi Arabian Grand Prix;FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025;03:00:00;2025-04-18T13:30:00+00:00;2025
1259;151;Miami;USA;Miami;19;USA;United States;Miami Grand Prix;FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025;-04:00:00;2025-05-02T16:30:00+00:00;2025
1260;6;Imola;ITA;Imola;13;ITA;Italy;Emilia Romagna Grand Prix;FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025;02:00:00;2025-05-16T11:30:00+00:00;2025
1261;22;Monte Carlo;MON;Monaco;114;MON;Monaco;Monaco Grand Prix;FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025;02:00:00;2025-05-23T11:30:00+00:00;2025
1262;15;Catalunya;ESP;Barcelona;1;ESP;Spain;Spanish Grand Prix;FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025;02:00:00;2025-05-30T11:30:00+00:00;2025
1263;23;Montreal;CAN;Montréal;46;CAN;Canada;Canadian Grand Prix;FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025;-04:00:00;2025-06-13T17:30:00+00:00;2025
1264;19;Spielberg;AUT;Spielberg;17;AUT;Austria;Austrian Grand Prix;FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025;02:00:00;2025-06-27T11:30:00+00:00;2025
1277;2;Silverstone;GBR;Silverstone;2;GBR;United Kingdom;British Grand Prix;FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025;01:00:00;2025-07-04T11:30:00+00:00;2025
1265;7;Spa-Francorchamps;BEL;Spa-Francorchamps;16;BEL;Belgium;Belgian Grand Prix;FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025;02:00:00;2025-07-25T10:30:00+00:00;2025
1266;4;Hungaroring;HUN;Budapest;14;HUN;Hungary;Hungarian Grand Prix;FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025;02:00:00;2025-08-01T11:30:00+00:00;2025
1267;55;Zandvoort;NED;Zandvoort;133;NED;Netherlands;Dutch Grand Prix;FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025;02:00:00;2025-08-29T10:30:00+00:00;2025
1268;39;Monza;ITA;Monza;13;ITA;Italy;Italian Grand Prix;FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025;02:00:00;2025-09-05T11:30:00+00:00;2025
1269;144;Baku;AZE;Baku;30;AZE;Azerbaijan;Azerbaijan Grand Prix;FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025;04:00:00;2025-09-19T08:30:00+00:00;2025
